,ID,Age,Gender,Stimuli,Condition_kyl,Condition_choko,Condition_kors,Condition_brev,Condition_mal,Condition_harer,Response
0,id,22,mand,stimuli_easter\IMG_2321.JPG,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,9
1,id,22,mand,stimuli_easter\IMG_2324.JPG,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,12
2,id,22,mand,stimuli_easter\IMG_2322.JPG,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,98
3,id,22,mand,stimuli_easter\IMG_2320.jpg,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,34
4,id,22,mand,stimuli_easter\IMG_2323.JPG,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,103
5,id,22,mand,stimuli_easter\IMG_2319.JPG,i gruppen,mængden,gravpladsen,på bordet,i massen,snedriven,17
